"Event Name","Event Number","Event Type","Host Names","Description","Price","Age Range","Max Tickets","Sold Count","Wait Count","Starts","Start Date (UTC)","Duration (minutes)","More Info","Room","Space","Date Created","Date Updated","View URI","Player Experience","Game Complexity","Minimum # of Players","Hosting Company, Group, or Club Name","Game System (without edition)","Game Edition","Table Size Request"
"D&D Adventurers League - DDEX2-1 CITY OF DANGER","387","Organized Play","Sean Nicol","D&D Adventurers League, 4-6 players of character levels 1-2. DDEX2-1 CITY OF DANGER","0","Teen (13+)","6","4","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Clubhouse","Clubhouse 8","2022-08-17T22:46:09","2022-09-14T14:12:45","/conventions/u-con-2022/schedule/387","Some XP","Average","4",,,"5th edition","5' Round"
"Elder Sign","118","Board and Card Game","Becky Reamy","A handful of investigators race against time to locate the eldritch symbols necessary to seal the portals forever. Only they can stop the Ancient One beyond from finding its way to Earth.","0","Teen (13+)","8","8","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","http://","Ballroom","203","2022-07-28T14:34:41","2022-09-09T01:07:35","/conventions/u-con-2022/schedule/118","Beginner","Average","4","Amorphous Blob Games",,,"6'x30"" Rectangle (6 chairs)"
"Gotham City Misfits","390","Role Playing","Alexander Thomas","Killer Moth is getting together a crew to kidnap Bruce Wayne. Should be easy money...","0","Teen (13+)","5","5","1","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Conference G","Conference G 2","2022-08-17T22:46:32","2022-09-06T14:39:53","/conventions/u-con-2022/schedule/390","Beginner","Simple","3","Matinee Adventures","Mutants & Masterminds","3rd","5' Round"
"Ark Nova","227","Board and Card Game","Joe Capuano","In Ark Nova, you will plan and design a modern, scientifically managed zoo. You will build enclosures, accommodate animals, and support conservation projects all over the world.","0","Teen (13+)","4","4","1","Friday at  9:00 AM","2022-10-07T13:00:00","180","http://","Ballroom","419","2022-08-03T23:38:57","2022-09-14T23:00:16","/conventions/u-con-2022/schedule/227","Beginner","Average","2","Ypsi Gaming Group",,"can leave blank","8'x30"" Rectangle (6 chairs)"
"Call to Adventure: Epic Origins (KS Deluxe)","572","Board and Card Game","John Rogers","1-4 players compete to build their character using a tableau of drafted cards in order to complete challenges and face off together against a final adversary. Brand New Kickstarter game from September","0","Teen (13+)","4","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","https://www.brotherwisegames.com/epic-origins","Ballroom","212","2022-09-09T00:30:14","2022-09-13T03:10:53","/conventions/u-con-2022/schedule/572","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
"Free Radicals","578","Board and Card Game","Nathan Woll","In Free Radicals, players take control of one of ten fully asymmetrical factions, each with its own path to earn resources, power, and the knowledge stored in the ""Free Radicals"".","0","Teen (13+)","4","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","https://boardgamegeek.com/boardgame/324894/free-radicals","Ballroom","309","2022-09-10T12:53:44","2022-09-14T15:04:39","/conventions/u-con-2022/schedule/578","Beginner","Average","2",,,,"6'x30"" Rectangle (6 chairs)"
"World of Warcraft®: Wrath of the Lich King","86","Board and Card Game","Blair Reamy","Team up as legendary heroes to combat the evil of the Lich King in a brand new Pandemic System game set in the realm of World of Warcraft®.","0","Teen (13+)","5","5","1","Friday at  9:00 AM","2022-10-07T13:00:00","120","https://www.zmangames.com/en/products/wow-lich-king-pandemic/","Ballroom","204","2022-07-23T19:06:53","2022-09-06T04:33:39","/conventions/u-con-2022/schedule/86","Beginner","Average","3","Amorphous Blob Games",,,"6'x30"" Rectangle (6 chairs)"
"Learn to Play Steve Jackson's Munchkin Game","184","Board and Card Game","Nancy Hutchins","Have you somehow missed out on playing “Munchkin” by Steve Jackson Games for the last 20 years, or haven't played in a while and need a refresher? This 1-hour session is for you!","0","Teen (13+)","4","3","0","Friday at  9:00 AM","2022-10-07T13:00:00","60","https://munchkin.game/","Ballroom","310","2022-07-29T15:25:06","2022-09-02T19:09:39","/conventions/u-con-2022/schedule/184","Beginner","Average","2","Steve Jackson Games",,,"6'x30"" Rectangle (6 chairs)"
"Harry Potter and the Battle of Hogwarts","120","Board and Card Game","Trisha Kloha","In this cooperative game, you will take on the heroic role of either Harry Potter, Ron Weasley, Hermione Granger or Neville Longbottom in order to defeat a series of evil threats.","0","Teen (13+)","4","4","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://https://boardgamegeek.com/boardgame/199042/harry-potter-hogwarts-battle","Ballroom","201","2022-07-28T14:36:33","2022-09-14T15:03:35","/conventions/u-con-2022/schedule/120","Beginner","Simple","1","Amorphous Blob Games",,,"6'x18"" Rectangle (6 chairs)"
"Operation: Emmy Night","146","Role Playing","Scott Kongable","The wife of a Russian general has been outed as a NATO spy.  Can ICON aid her defection in Madrid?","0","Teen (13+)","4","3","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Conference H","Conference H 5","2022-07-28T16:31:22","2022-09-12T00:04:11","/conventions/u-con-2022/schedule/146","Beginner","Complex","1","Solarian","Top Secret New World Order","1st","5' Round"
"Road Kill Rally","124","Board and Card Game","Mark Kloha","As a driver in the Road-Kill Rally, you are racing against opponents eager to destroy you with guns, rockets and flame throwers. But the big points come from scoring pedestrians!","0","Teen (13+)","6","2","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://https://boardgamegeek.com/boardgame/65225/road-kill-rally","Ballroom","202","2022-07-28T14:36:52","2022-09-02T15:01:50","/conventions/u-con-2022/schedule/124","Beginner","Simple","2","Amorphous Blob Games",,,"6'x18"" Rectangle (6 chairs)"
"Merlinspawn","99","Role Playing","David Vandenabeele","Merlin returned magic to the land, revolutionizing every field.  London of 1876 now sees alchemy at Scotland Yard, magic classes at university, and inventions that defy physics.  This is your world.","0","Adult (18+)","5","5","0","Friday at  9:00 AM","2022-10-07T13:00:00","300","http://","Seminar","Seminar 1","2022-07-23T19:15:18","2022-09-08T20:19:41","/conventions/u-con-2022/schedule/99","Beginner","Average","1","","","","6'x30"" Rectangle"
"Werewords","538","Board and Card Game","Christina Fayz","Players guess a secret word by asking ""yes"" or ""no"" questions. Figure out the magic word before time is up, and you win! However, one player is secretly a werewolf working against you!","0","Teen (13+)","8","0","0","Friday at  9:00 AM","2022-10-07T13:00:00","120","https://boardgamegeek.com/boardgame/219215/werewords","Ballroom","208","2022-09-02T17:15:07","2022-09-02T17:16:52","/conventions/u-con-2022/schedule/538","Beginner","Average","4"
"Star Wars: The Jedi of the Outer Rim (KEY System)","557","Role Playing","James Arnoldi","A hidden Jedi temple far from the heart of the Empire has so far remained undetected by the Emperor's Inquisition.  How long can will that last?  Rules taught.","0","Teen (13+)","6","6","0","Friday at  9:00 AM","2022-10-07T13:00:00","240","http://","Conference C","Conference C 1","2022-09-04T21:02:09","2022-09-15T06:55:35","/conventions/u-con-2022/schedule/557","Beginner","Simple","2",,"KEY System",,"5' Round"
"18XX","2","Board and Card Game","allen stiles","18XX gaming system.","0","Adult (18+)","12","0","0","Friday at  9:00 AM","2022-10-07T13:00:00","180","http://","Ballroom","314","2022-07-01T12:53:59","2022-08-05T17:43:29","/conventions/u-con-2022/schedule/2","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Eurorails/Empire Builder","13","Board and Card Game","allen stiles","Empire Builder crayon rails system.","0","Adult (18+)","24","3","0","Friday at  9:00 AM","2022-10-07T13:00:00","180","http://","Ballroom","316","2022-07-15T17:16:44","2022-09-03T21:51:15","/conventions/u-con-2022/schedule/13","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Express","17","Board and Card Game","allen stiles","","0","Adult (18+)","12","1","0","Friday at  9:00 AM","2022-10-07T13:00:00","180","http://","Ballroom","317","2022-07-15T17:16:57","2022-09-02T16:22:39","/conventions/u-con-2022/schedule/17","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Doodle Dungeon","47","Board and Card Game","Stewart Tame ","Build dungeon full of traps and monsters by drafting cards.  Hide treasures well.  Play cards to aid heroes in opponents' dungeons, while hindering them in your own.  Rules will be taught.","0","Teen (13+)","3","3","0","Friday at 10:00 AM","2022-10-07T14:00:00","120","http://","Ballroom","205","2022-07-23T18:42:04","2022-09-05T22:55:26","/conventions/u-con-2022/schedule/47","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
"Vast: The Crystal Caverns","550","Board and Card Game","Justin Gerken","An asymmetrical board game all about finishing your win condition before the other players. Trying to win as either The Knight, Goblins, Dragon, Thief, and the Cave itself against everyone else.","0","Family Friendly (7+)","5","0","0","Friday at 10:00 AM","2022-10-07T14:00:00","120","http://","Ballroom","211","2022-09-03T14:41:09","2022-09-03T14:53:55","/conventions/u-con-2022/schedule/550","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
"Jaws","600","Board and Card Game","John Yax","Two part game that starts with hidden movement and ends with Amerithrash dice rolling and fighting.","0","Teen (13+)","3","0","0","Friday at 10:00 AM","2022-10-07T14:00:00","120","https://boardgamegeek.com/boardgame/272738/jaws","Ballroom","209","2022-09-15T00:43:48","2022-09-15T00:57:22","/conventions/u-con-2022/schedule/600","Some XP","Average","4",,,,"8'x30"" Rectangle (6 chairs)"
"Munchkin Spell Skool","189","Board and Card Game","Nancy Hutchins","Please, open your spell books and take out your wands . . . welcome to Munchkin Spell Skool!","0","Teen (13+)","6","3","0","Friday at 10:00 AM","2022-10-07T14:00:00","120","https://munchkin.game/","Ballroom","303","2022-07-29T15:25:31","2022-09-02T18:09:18","/conventions/u-con-2022/schedule/189","Beginner","Average","3","Steve Jackson Games",,,"5' Round (7 chairs)"
"Basic Dungeons & Dragons - Adventures in Mystara","402","Role Playing","Paul Johnson","A classic-style D&D adventure using the classic rules! Will have pre-made characters for a quick start and mid-dungeon replacements. Great for beginners and veterans alike!","0","Family Friendly (7+)","6","6","1","Friday at 10:00 AM","2022-10-07T14:00:00","240","http://","Conference H","Conference H 7","2022-08-21T18:19:29","2022-09-08T21:23:00","/conventions/u-con-2022/schedule/402","Beginner","Average","2",,"Dungeons & Dragons","Basic","5' Round"
"Namiji - Tokaido Double Header","240","Board and Card Game","David Reynolds","We will do a double header of these fast-playing, elegant games. Games use similar mechanics, but each has a very distinct feel.","0","Teen (13+)","4","3","0","Friday at 10:00 AM","2022-10-07T14:00:00","120","http://","Ballroom","416","2022-08-03T23:41:44","2022-09-11T04:13:53","/conventions/u-con-2022/schedule/240","Beginner","Average","2","Ypsi Gaming Group",,"","8'x30"" Rectangle (6 chairs)"
"Automobile: Wheels to Wealth","200","Board and Card Game","Tom Wolan","Make your mark at the dawn of the automobile age. You will build factories, manufacture cars, and sell them, all with the help of innovative leaders from the era.","0","Teen (13+)","5","1","0","Friday at 10:00 AM","2022-10-07T14:00:00","180","http://boardgamegeek.com/boardgame/39351/automobile","Ballroom","422","2022-08-03T23:20:59","2022-09-02T15:18:00","/conventions/u-con-2022/schedule/200","Beginner","Average","2","Tom Wolan",,,"6'x18"" Rectangle (6 chairs)"
"(Don't) Llama","107","Board and Card Game","Cheryl Orosz","Surprisingly strategic and quick hand management card game.","0","Teen (13+)","6","1","0","Friday at 11:00 AM","2022-10-07T15:00:00","60","https://boardgamegeek.com/boardgame/266083/llm","Ballroom","311","2022-07-28T14:32:38","2022-09-02T22:49:53","/conventions/u-con-2022/schedule/107","Beginner","Simple","2",,,,"6'x18"" Rectangle (6 chairs)"
"Concordia","374","Board and Card Game","Nick Huston ","Guide a dynasty and send colonists to the remote realms of the Empire, develop your trade network, and appease the gods to earn their favor. Do that and you shall emerge victorious!","0","Family Friendly (7+)","6","5","0","Friday at 11:00 AM","2022-10-07T15:00:00","180","http://","Ballroom","206","2022-08-12T11:51:49","2022-09-10T21:18:13","/conventions/u-con-2022/schedule/374","Beginner","Average","2","Oakland County Gamers",,,"6'x30"" Rectangle (6 chairs)"
"Wonderland's War","211","Board and Card Game","Gary Loyola","Players lead an army of Wonderlandians through three rounds of battle by drawing them out of their bag, hopefully avoiding the madness that will cause their defeat.","0","Teen (13+)","4","4","0","Friday at 11:00 AM","2022-10-07T15:00:00","120","https://boardgamegeek.com/boardgame/227935/wonderlands-war","Ballroom","308","2022-08-03T23:31:20","2022-09-14T15:11:18","/conventions/u-con-2022/schedule/211","Beginner","Average","2","Oakland County Gamers",,,"6'x30"" Rectangle (6 chairs)"
"SJA-02 Spelljammer Academy: Trial by Fire","447","Organized Play","Raven Lanier","Second adventure in the D&D 5e Spelljammer Academy story, though playing part one is NOT necessary to play this adventure. Requires an Adventurers League playable level 2 character.","0","Teen (13+)","7","2","0","Friday at 11:00 AM","2022-10-07T15:00:00","120","http://","Clubhouse","Clubhouse 7","2022-08-28T23:24:08","2022-09-08T12:49:32","/conventions/u-con-2022/schedule/447","Beginner","Simple","3",,"Dungeons & Dragons","5e","5' Round"
"Call to Adventure: Epic Origins (KS Deluxe)","573","Board and Card Game","John Rogers","1-4 players compete to build their character using a tableau of drafted cards in order to complete challenges and face off together against a final adversary. Brand New Kickstarter game from September","0","Teen (13+)","4","0","0","Friday at 11:00 AM","2022-10-07T15:00:00","120","https://www.brotherwisegames.com/epic-origins","Ballroom","212","2022-09-09T00:30:18","2022-09-09T00:31:46","/conventions/u-con-2022/schedule/573","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
"PARKS","215","Board and Card Game","William Frisk","Hike through the trails over four seasons of the year. Take pictures and collect resources which you can trade in to to visit various parks or buy equipment to give you advantages on later turns.","0","Teen (13+)","4","2","0","Friday at 11:00 AM","2022-10-07T15:00:00","120","http://https://boardgamegeek.com/boardgame/266524/parks","Ballroom","424","2022-08-03T23:32:47","2022-09-09T19:41:29","/conventions/u-con-2022/schedule/215","Beginner","Average","5",,,,"6'x18"" Rectangle (6 chairs)"
"Free Radicals","119","Board and Card Game","Nathan Woll","In Free Radicals, players take control of one of ten fully asymmetrical factions, each with its own path to earn resources, power, and the knowledge stored in the ""Free Radicals"".","0","Teen (13+)","4","2","0","Friday at 11:00 AM","2022-10-07T15:00:00","120","https://boardgamegeek.com/boardgame/324894/free-radicals","Ballroom","309","2022-07-28T14:36:29","2022-09-03T02:44:19","/conventions/u-con-2022/schedule/119","Beginner","Average","2",,,,"6'x30"" Rectangle (6 chairs)"
"Learn Dominion!","361","Board and Card Game","David A. Spitzley","Dominion is the first of the now widespread Deckbuilder style games.  I'll show you the basics with the recommended starting cardset, and then we can try some of the expansion cards.","0","Teen (13+)","4","0","0","Friday at 11:00 AM","2022-10-07T15:00:00","120","https://boardgamegeek.com/boardgame/209418/dominion-second-edition","Ballroom","418","2022-08-11T13:02:48","2022-09-02T16:02:02","/conventions/u-con-2022/schedule/361","Beginner","Average","2",,,,"6'x18"" Rectangle (6 chairs)"
"Troyes","428","Board and Card Game","Peter Cerra","A victory points Euro, but with a bit more interaction than average. Heavier than some mediums such as Wingspan, it covers the building of a cathedral and four centuries of medieval history via dice.","0","Teen (13+)","3","1","0","Friday at 11:00 AM","2022-10-07T15:00:00","180","https://boardgamegeek.com/boardgame/73439/troyes","Ballroom","210","2022-08-27T19:25:17","2022-09-02T15:56:19","/conventions/u-con-2022/schedule/428","Beginner","Average","1",,,,"6'x30"" Rectangle (6 chairs)"
"Dread - Ready or Yacht???","256","Role Playing","Andrew Hooks","Sun, surf, booze, drugs, sex…sharks…A group of rich and stylish friends is out sailing. When danger strikes, who will be the one with the lifejacket and flare gun, and who will be chum?","0","Adult (18+)","6","5","0","Friday at 12:00 PM","2022-10-07T16:00:00","240","http://dreadthegame.wordpress.com/about-dread-the-game/","Conference C","Conference C 2","2022-08-05T12:13:38","2022-09-13T01:11:33","/conventions/u-con-2022/schedule/256","Beginner","Simple","3",,"Dread"
"Ticket to Ride","32","Board and Card Game","allen stiles","","0","Adult (18+)","12","4","0","Friday at 12:00 PM","2022-10-07T16:00:00","180","http://","Ballroom","315","2022-07-15T17:17:46","2022-09-09T01:00:07","/conventions/u-con-2022/schedule/32","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Union Pacific","37","Board and Card Game","allen stiles","","0","Adult (18+)","12","3","0","Friday at 12:00 PM","2022-10-07T16:00:00","180","http://","Ballroom","316","2022-07-15T17:18:01","2022-09-03T19:58:55","/conventions/u-con-2022/schedule/37","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"RoboFlash: Rescue Rally","222","Board and Card Game","Scott Allen Rutter","The factory is on fire! Can the robots rescue all the workers before the factory burns down? Find out in this new game mashup!","0","Family Friendly (7+)","4","0","0","Friday at 12:00 PM","2022-10-07T16:00:00","240","http://","Ballroom","421","2022-08-03T23:34:35","2022-08-06T15:44:01","/conventions/u-con-2022/schedule/222","Beginner","Average","2",,,,"6'x18"" Rectangle (6 chairs)"
"Dune Imperium: Rise of Ix Expansion","44","Board and Card Game","Robert Christensen","As a leader of one of the Great Houses, raise your banner and marshal your forces and spies. Dune: Imperium uses deck-building to add hidden-information to traditional worker placement.","0","Teen (13+)","4","4","0","Friday at 12:00 PM","2022-10-07T16:00:00","120","","Ballroom","425","2022-07-23T18:39:57","2022-09-02T18:13:52","/conventions/u-con-2022/schedule/44","Beginner","Average","1",,,,"6'x18"" Rectangle (6 chairs)"
"Iron Dragon/Martian Rails/Lunar Rails","21","Board and Card Game","allen stiles","Empire Builder crayon rails system.","0","Adult (18+)","24","2","0","Friday at 12:00 PM","2022-10-07T16:00:00","180","http://","Ballroom","317","2022-07-15T17:17:10","2022-09-05T04:15:50","/conventions/u-con-2022/schedule/21","Beginner","Average","3","Train Gamers Association",,"n/a","6'x18"" Rectangle (6 chairs)"
"Star Wars Outer Rim with Unfinished Business expansion","593","Board and Card Game","Kevin Schnell","In Outer Rim, you'll travel the Outer Rim in your personal ship, hire legendary Star Wars characters to join your crew, and try to become the most famous (or infamous) outlaw in the galaxy!","0","Teen (13+)","4","0","0","Friday at  1:00 PM","2022-10-07T17:00:00","180","https://boardgamegeek.com/boardgame/271896/star-wars-outer-rim","Ballroom","415","2022-09-12T22:00:15","2022-09-12T22:05:32","/conventions/u-con-2022/schedule/593","Beginner","Average","2","Ypsi Gaming Group",,,"5' Round (7 chairs)"
"Uno, Dos, ... Tres?","486","Board and Card Game","Pritpaul Mahal","You know the classic card game Uno -- get rid of all your cards.  Dos is a new(-ish) game from the makers of Uno, with a twist.  We will play these and/or some of several other variants from Mattel.","0","Family Friendly (7+)","6","0","0","Friday at  1:00 PM","2022-10-07T17:00:00","60","http://","Ballroom","209","2022-09-01T15:18:54","2022-09-01T16:07:41","/conventions/u-con-2022/schedule/486","Beginner","Average","2",,,,""
"Isle of Cats","599","Board and Card Game","John Yax","Polyominos (i.e. placing tetris style pieces), card drafting, and hand management with a cat theme!","0","Adult (18+)","3","0","0","Friday at  1:00 PM","2022-10-07T17:00:00","120","https://boardgamegeek.com/boardgame/281259/isle-cats","Ballroom","212","2022-09-15T00:43:43","2022-09-15T00:55:42","/conventions/u-con-2022/schedule/599","Expert","Complex","2",,,,"8'x30"" Rectangle (6 chairs)"
"Discworld - The Lost Temple of the Volcano God of Slakki","196","Role Playing","Walter B Schirmacher","A brave group of adventures sets out on an important expedition to locate an ancient idol and transport it to its rightful place in a god’s temple. Nothing dangerous, should be a piece of cake!","0","Teen (13+)","6","6","0","Friday at  1:00 PM","2022-10-07T17:00:00","240","http://","Conference C","Conference C 1","2022-08-01T12:28:35","2022-09-04T16:24:30","/conventions/u-con-2022/schedule/196","Beginner","Average","3","Steve Jackson Games Men in Black","GURPS","Discworld","5' Round"
